"filename", "language", "JavaScript", "Vue", "Less", "CSS", "Markdown", "HTML", "JSON", "XML", "comment", "blank", "total"
"d:\LittleBearPC\VideoCall-Web\src\plugins\ajax\conf.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 47, 11, 76
"d:\LittleBearPC\VideoCall-Web\src\plugins\ajax\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 8, 2, 22
"d:\LittleBearPC\VideoCall-Web\src\plugins\errHandle\index.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 14, 2, 23
"d:\LittleBearPC\VideoCall-Web\src\plugins\loading\handleLoad\handleLoading.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 4, 25
"d:\LittleBearPC\VideoCall-Web\src\plugins\loading\handleLoad\handleLoading.vue", "Vue", 0, 58, 0, 0, 0, 0, 0, 0, 0, 3, 61
"d:\LittleBearPC\VideoCall-Web\src\plugins\loading\pageLoad\Loading.vue", "Vue", 0, 57, 0, 0, 0, 0, 0, 0, 1, 8, 66
"d:\LittleBearPC\VideoCall-Web\src\plugins\loading\pageLoad\Loading2.vue", "Vue", 0, 37, 0, 0, 0, 0, 0, 0, 1, 4, 42
"d:\LittleBearPC\VideoCall-Web\src\plugins\loading\pageLoad\loading.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 4, 25
"d:\LittleBearPC\VideoCall-Web\src\plugins\loading\pageLoad\loading2.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 4, 25
"d:\LittleBearPC\VideoCall-Web\src\router\index.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 19, 6, 99
"d:\LittleBearPC\VideoCall-Web\src\service\agoraService.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 14, 1, 36
"d:\LittleBearPC\VideoCall-Web\src\service\meetingService.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 24, 0, 91
"d:\LittleBearPC\VideoCall-Web\src\service\tokenService.js", "JavaScript", 194, 0, 0, 0, 0, 0, 0, 0, 22, 5, 221
"d:\LittleBearPC\VideoCall-Web\src\store\index.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 10, 3, 34
"d:\LittleBearPC\VideoCall-Web\src\utils\BrowserCheck.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"d:\LittleBearPC\VideoCall-Web\src\utils\Settings.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 11, 4, 24
"d:\LittleBearPC\VideoCall-Web\src\utils\util.js", "JavaScript", 478, 0, 0, 0, 0, 0, 0, 0, 9, 22, 509
"d:\LittleBearPC\VideoCall-Web\src\utils\vaildata.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 8, 1, 100
"d:\LittleBearPC\VideoCall-Web\src\views\Home.vue", "Vue", 0, 193, 0, 0, 0, 0, 0, 0, 6, 5, 204
"d:\LittleBearPC\VideoCall-Web\src\views\Login.vue", "Vue", 0, 689, 0, 0, 0, 0, 0, 0, 65, 13, 767
"d:\LittleBearPC\VideoCall-Web\src\views\home\index.vue", "Vue", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\LittleBearPC\VideoCall-Web\src\views\meeting\addMeeting.vue", "Vue", 0, 304, 0, 0, 0, 0, 0, 0, 1, 10, 315
"d:\LittleBearPC\VideoCall-Web\src\views\meeting\createMeeting.vue", "Vue", 0, 316, 0, 0, 0, 0, 0, 0, 1, 9, 326
"d:\LittleBearPC\VideoCall-Web\src\views\meeting\index.vue", "Vue", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\LittleBearPC\VideoCall-Web\src\views\order\order.vue", "Vue", 0, 115, 0, 0, 0, 0, 0, 0, 3, 0, 118
"d:\LittleBearPC\VideoCall-Web\src\views\user\userList.vue", "Vue", 0, 361, 0, 0, 0, 0, 0, 0, 2, 4, 367
"d:\LittleBearPC\VideoCall-Web\src\views\video\video.vue", "Vue", 0, 213, 0, 0, 0, 0, 0, 0, 3, 2, 218
"d:\LittleBearPC\VideoCall-Web\vue.config.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 40, 2, 113
"Total", "-", 2449, 6729, 139, 108, 19, 16, 12393, 50, 1176, 398, 23477
